time,condition,ID,pAKT,pEPOR,pJAK2,pMEK,ppERK,pSTAT5,tAKT,tEPOR,tERK,tJAK2,tMEK,tSTAT5
0,0Uml Epo,1.1,116.838271399017,295.836863524109,,,,,,,,,,
5,0Uml Epo,1.1,138.808500374087,245.229971713582,,,,,,,,,,
10,0Uml Epo,1.1,99.0906786883278,282.267681770956,,,,,,,,,,
20,0Uml Epo,1.1,106.685837903319,268.804162583856,,,,,,,,,,
30,0Uml Epo,1.1,115.028050064248,340.926275016381,,,,,,,,,,
60,0Uml Epo,1.1,111.913230066738,284.478960254812,,,,,,,,,,
240,0Uml Epo,1.1,132.566184846348,213.441067871856,,,,,,,,,,
0,0Uml Epo,2,94.4670174938645,,293.604761934545,80.3605337171492,138.138177381568,3.97231585579595,776.283100190451,1078.75252380959,856.00478247304,678.443168410604,815.851106681355,892.59419078509
5,0Uml Epo,2,122.440849672313,,398.958892340432,106.402751987615,130.794465246105,5.05338698795638,839.075540504417,1085.82146322883,880.155347344083,771.353527473159,694.670584340057,759.818709231466
10,0Uml Epo,2,51.5839060580721,,311.149898510556,62.3212348345122,131.894013544118,7.21999169403525,836.022510489417,1163.23336505246,644.425468757479,764.195982508808,674.523526828773,832.586720317394
20,0Uml Epo,2,,,312.037578283261,85.0941917056807,153.819418124779,1.73644953892162,815.411270300229,1031.34832543111,828.921059345768,728.498550460086,814.861370362206,1094.70441952514
30,0Uml Epo,2,,,302.954607189541,65.6104563328632,118.523097011408,0.692980967232477,886.651420643526,1197.54564448642,920.969392218081,712.032968541775,823.542115947782,769.470199756682
60,0Uml Epo,2,,,322.88858129007,74.9279710155781,127.180646252239,4.26001650564793,743.47620087269,1000.81111182523,844.930672700115,719.286901967017,652.469013147528,950.743503925187
240,0Uml Epo,2,,,289.921132451737,84.5612669576185,56.8041009568707,3.49368009033199,722.058437089183,1002.30405685567,903.450936458018,728.315633833015,702.465420126188,857.713833420947
0,0Uml Epo,3,,,114.920238776713,25.9304931179097,45.134817796338,2.61108479430057,225.224708365087,300.308848356137,230.540428338893,205.872584736977,249.19202832208,274.095464441922
5,0Uml Epo,3,,,101.491737639181,24.7498783940783,37.2231547081845,15.2922372872964,214.454433311778,354.942015055398,270.416801358597,205.626400099459,235.196682283682,305.357886855328
10,0Uml Epo,3,,,114.560035022808,22.3243692413361,44.2176171541289,0.348703064512803,255.377137360017,301.131003407985,266.167297305249,251.647048473331,243.60815179026,285.59379873141
20,0Uml Epo,3,,,107.956965504314,13.8962721545193,41.7399622347645,1.29268891411939,261.402210451463,375.846743348638,270.295979124412,246.159073749855,194.709351840216,273.361898514627
30,0Uml Epo,3,,,98.4641463770123,26.779877906976,33.135063189943,1.07972957711457,236.73821287957,333.307777328175,303.885632328759,244.288330580696,249.269044117453,280.956846895869
60,0Uml Epo,3,,,72.9981689222751,23.6311079574512,46.5063768817782,2.09694474446281,334.443618629827,339.651562011159,268.432852637062,211.998205141149,272.621843615202,254.779826558348
240,0Uml Epo,3,,,99.4935117172235,30.5240536722054,44.9208477583184,2.25948510210621,273.478069834737,319.06696669909,251.983735006045,218.36564207317,267.835360457886,282.29595782657
0,0Uml Epo,4,,,406.0455502848,92.4074773614169,159.188214293563,4.41080925329105,865.927016428705,1273.79525418942,728.454694159757,681.888556730739,959.100846626833,1009.36961989606
5,0Uml Epo,4,,,354.75387366761,111.321024241714,147.919703647967,12.7556231491004,1015.39102217274,1135.36116153325,1053.32846822136,731.678473422383,867.231466356857,980.187067004907
10,0Uml Epo,4,,,364.832747677508,104.622376154456,141.306407812343,0.410932840490988,800.582475754849,1164.66281520202,909.7525797967,854.037119252635,653.190908804224,970.958639513833
20,0Uml Epo,4,,,329.512943473357,84.0191249474082,153.83036528591,39.7946698794601,775.680920120213,1033.95862970266,961.890605987358,788.301890626014,898.89744787406,1183.21562519258
30,0Uml Epo,4,,,339.251371536628,82.4056407892005,144.474639678651,7.20061281840829,1044.53720301818,1338.30203970312,770.477628717515,882.960840361978,808.848071855951,971.698281648093
60,0Uml Epo,4,,,300.464181049548,104.120759308105,140.111451367913,2.73929189852854,971.398171983599,1013.88401012016,1083.3449351063,841.972469169992,933.188788705839,981.955730813747
240,0Uml Epo,4,,,362.835268657657,112.620320328922,164.509791005429,10.1871049823062,803.9658803883,1061.7747219754,924.448746352934,786.052068655857,942.0419341463,1047.47048688395
0,0Uml Epo,5,,,337.965384081141,110.238417943562,184.630447928941,17.0725115347737,837.428040854697,1482.57079730034,808.676991944609,900.477885419252,776.560495128131,866.009561040973
5,0Uml Epo,5,,,350.2089027874,79.131164053558,141.83434443904,8.61465248662776,908.589391166069,1190.84514292904,1002.48925611608,765.060277128583,785.3007472806,932.772130128317
10,0Uml Epo,5,,,342.998046596476,112.136531965959,142.839714021518,0.382513038063911,970.535446717053,1182.23493324365,888.719853736004,793.345063996969,892.647612156598,889.715014152078
